,Brands,type_,year,car_age,km,fuel,Prices,owner,downpayments
214,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
215,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
216,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
217,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
218,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
219,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
220,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
221,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
222,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
223,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
224,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
225,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
226,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
227,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
228,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
229,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
230,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
231,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
232,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
233,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
234,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
235,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
236,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
237,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
238,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
239,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
240,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
241,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
