,Brands,type_,year,km,fuel,Prices,owner,downpayments
279,Maruti,Alto,2018,"23,562",Petrol,"₹2,93,799",1st,"₹5,744/month"
280,MG,HECTOR,2020,"6,707",Petrol,"₹15,70,899",1st,"₹30,711/month"
281,KIA,SELTOS,2019,"15,503",Petrol,"₹15,08,899",1st,"₹29,499/month"
282,Maruti,Baleno,2016,"36,021",Petrol,"₹4,78,899",1st,"₹9,363/month"
283,Maruti,Alto,2014,"20,114",Petrol,"₹2,66,999",1st,"₹5,220/month"
284,Hyundai,i10,2013,"52,004",Petrol,"₹2,72,499",2nd,"₹5,327/month"
285,Hyundai,Verna,2011,"58,939",Petrol,"₹3,71,599",2nd,"₹7,265/month"
286,Hyundai,Elite,2015,"6,880",Petrol,"₹5,77,799",1st,"₹11,296/month"
287,Maruti,Alto,2015,"24,432",Petrol,"₹2,54,399",1st,"₹4,974/month"
288,Renault,Kwid,2020,"36,551",Petrol,"₹4,21,199",1st,"₹8,235/month"
289,Honda,Brio,2013,"25,584",Petrol,"₹2,96,199",2nd,"₹5,791/month"
290,Maruti,Baleno,2016,"29,068",Petrol,"₹5,11,799",1st,"₹10,006/month"
291,Maruti,Alto,2015,"43,764",Petrol,"₹2,41,321",1st,"₹4,718/month"
292,KIA,SELTOS,2019,"7,946",Petrol,"₹10,22,999",1st,"₹20,000/month"
293,Maruti,Dzire,2018,"8,242",Diesel,"₹7,05,899",2nd,"₹13,800/month"
294,Honda,Brio,2013,"42,217",Petrol,"₹2,86,899",2nd,"₹5,609/month"
295,Honda,Brio,2013,"15,512",Petrol,"₹3,44,799",1st,"₹6,741/month"
296,Maruti,Alto,2018,"31,588",Petrol,"₹2,83,399",1st,"₹5,541/month"
297,Jeep,Compass,2018,"22,602",Diesel,"₹11,18,499",1st,"₹21,867/month"
